GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3009,428,75,79,147,137,342,331,187,140,316,174,111,112,1831,392
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4363,453,386,149,948,415,510,238,250,180,461,256,73,72,1735,310
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",5092,491,571,352,714,471,127,64,129,107,482,344,0,19,3069,487
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1353,284,63,49,118,94,84,81,68,50,137,129,15,17,868,194
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4099,455,390,263,287,224,478,269,252,122,702,339,41,40,1949,365
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2254,301,426,340,438,149,206,106,123,83,215,107,75,55,771,243
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4832,382,669,263,954,242,253,140,393,223,480,209,86,82,1997,385
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1230,367,161,142,185,192,15,17,134,140,35,44,114,111,586,216
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",2674,405,131,75,273,177,361,217,25,37,190,151,56,54,1638,415
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3811,439,283,174,528,197,108,92,380,212,334,364,102,89,2076,392
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4214,397,189,127,462,211,250,157,431,280,825,331,22,38,2035,527
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2412,229,344,215,652,263,148,79,299,220,76,68,58,79,835,254
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1028,233,142,124,95,75,0,13,48,57,161,143,54,60,528,203
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5235,421,182,148,575,318,215,173,178,170,646,347,251,194,3188,450
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7138,760,901,317,1133,463,279,188,272,201,547,276,135,159,3871,585
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5601,594,325,258,779,401,81,80,254,175,427,380,56,85,3679,626
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4864,548,1096,397,381,161,277,163,426,286,632,322,185,145,1867,379
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",4386,646,1713,641,429,259,26,27,10,16,345,260,259,241,1604,356
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",4084,403,644,289,1033,410,171,113,262,203,214,136,18,17,1742,428
