GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3387,356,147,107,213,179,227,216,395,274,272,184,72,75,2061,375
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4321,458,523,275,675,329,717,377,323,194,244,171,59,55,1780,353
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4747,440,547,269,580,250,321,247,449,299,362,321,20,36,2468,413
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1453,237,228,144,56,36,80,77,66,39,173,96,31,27,819,178
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4018,443,513,256,263,139,458,323,171,110,606,391,37,26,1970,379
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2085,290,124,84,624,190,144,74,122,85,160,90,66,56,845,235
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4876,312,455,211,943,271,513,186,494,233,415,194,154,143,1902,375
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1300,204,96,64,128,72,30,25,167,104,74,49,101,70,704,168
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",3088,289,213,129,210,121,103,112,279,203,112,82,94,79,2077,327
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3872,359,224,114,582,186,216,122,383,180,184,131,134,118,2149,320
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",3741,334,358,181,332,117,347,203,226,145,680,311,84,100,1714,326
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2204,180,218,118,438,178,271,122,114,114,128,76,128,137,907,228
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1083,179,88,65,8,9,0,13,34,38,143,102,0,13,810,187
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5158,519,436,267,650,392,275,189,101,133,596,316,308,254,2792,455
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",6524,726,1080,452,1015,527,136,118,342,269,506,253,54,61,3391,597
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",6322,554,312,246,414,298,397,228,340,198,959,439,52,75,3848,481
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4890,603,1174,366,677,261,493,248,234,169,414,198,133,98,1765,365
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",5114,747,1810,527,1052,454,141,149,225,207,59,66,167,166,1660,399
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",3485,402,718,285,577,269,305,159,277,149,255,123,33,39,1320,355
1400000US13009970701,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2486,291,808,261,481,176,342,185,32,24,213,150,66,63,544,204
1400000US13009970702,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",1823,345,451,287,100,72,147,103,185,124,257,144,17,22,666,174
1400000US13009970800,13009970800,"Census Tract 9708, Baldwin County, Georgia",6272,678,762,504,684,373,1145,649,495,365,348,279,179,210,2659,663
1400000US13011970100,13011970100,"Census Tract 9701, Banks County, Georgia",5258,411,224,121,672,328,371,193,306,178,426,178,302,196,2957,303
1400000US13011970200,13011970200,"Census Tract 9702, Banks County, Georgia",5013,370,299,143,589,197,568,188,450,235,394,209,121,94,2592,390
1400000US13011970300,13011970300,"Census Tract 9703, Banks County, Georgia",4144,327,208,95,475,338,88,81,461,218,273,161,147,94,2492,397
1400000US13011970400,13011970400,"Census Tract 9704, Banks County, Georgia",3857,367,303,157,256,136,269,221,101,108,554,320,287,231,2087,427
1400000US13013180103,13013180103,"Census Tract 1801.03, Barrow County, Georgia",4589,490,256,235,52,61,8,12,182,156,121,88,191,164,3779,515
1400000US13013180104,13013180104,"Census Tract 1801.04, Barrow County, Georgia",1976,249,255,150,58,49,210,166,111,103,160,131,69,85,1113,252
1400000US13013180105,13013180105,"Census Tract 1801.05, Barrow County, Georgia",2794,309,279,208,183,138,128,121,30,41,205,122,54,58,1915,391
1400000US13013180106,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2831,318,109,83,307,139,188,143,96,86,178,119,106,99,1847,311
1400000US13013180107,13013180107,"Census Tract 1801.07, Barrow County, Georgia",3841,380,521,294,321,186,303,255,197,205,207,140,34,51,2258,345
