GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",2860,400,59,63,197,187,205,192,91,71,250,214,70,85,1988,386
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4203,468,546,293,840,376,480,267,75,150,393,257,59,75,1810,386
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4918,535,676,378,784,551,135,83,104,89,263,204,0,132,2956,538
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1838,347,14,18,170,126,11,18,177,124,211,121,5,9,1250,315
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4011,457,243,163,435,298,580,315,129,77,154,111,425,409,2045,535
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2218,327,142,90,323,143,344,184,115,84,142,70,50,47,1102,285
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",5048,317,772,227,631,258,274,159,630,275,413,201,115,109,2213,329
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1059,251,274,207,189,209,15,23,41,67,0,132,0,132,540,162
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",2711,515,102,89,238,170,206,182,320,287,194,193,87,93,1564,454
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3759,620,232,239,474,248,145,116,373,222,521,483,129,98,1885,464
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",3983,546,252,192,425,278,209,206,405,285,468,281,29,39,2195,582
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2347,293,437,253,262,182,48,47,158,149,93,100,33,53,1316,415
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1287,293,253,216,140,100,0,132,222,231,172,157,78,87,422,289
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5201,519,175,94,408,211,456,281,133,110,408,279,103,83,3518,449
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7444,995,794,377,1326,626,193,144,124,117,737,393,304,280,3966,710
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5356,503,399,285,502,291,201,166,233,211,226,206,112,124,3683,470
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4644,762,1266,446,335,173,266,201,510,301,445,218,79,71,1743,583
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",3036,415,646,384,420,340,31,36,67,57,431,273,139,115,1302,312
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",4384,520,578,259,735,428,155,105,561,432,202,154,88,108,2065,508
1400000US13009970701,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2296,409,391,349,525,330,143,129,169,137,176,100,32,56,860,369
1400000US13009970702,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",2183,523,323,347,487,295,139,182,88,69,325,267,19,22,802,265
1400000US13009970800,13009970800,"Census Tract 9708, Baldwin County, Georgia",6208,708,44,45,915,471,328,254,370,209,230,127,99,110,4222,797
1400000US13011970100,13011970100,"Census Tract 9701, Banks County, Georgia",5361,442,233,141,803,324,687,305,315,185,297,165,51,72,2975,501
1400000US13011970200,13011970200,"Census Tract 9702, Banks County, Georgia",5123,427,283,160,339,142,243,92,362,241,616,284,197,159,3083,553
1400000US13011970300,13011970300,"Census Tract 9703, Banks County, Georgia",4167,311,117,80,455,177,262,152,261,180,183,110,218,195,2671,346
1400000US13011970400,13011970400,"Census Tract 9704, Banks County, Georgia",3184,328,249,160,354,212,144,168,152,146,92,68,55,64,2138,372
1400000US13013180103,13013180103,"Census Tract 1801.03, Barrow County, Georgia",3350,512,57,71,36,46,31,47,371,296,432,505,34,49,2389,491
1400000US13013180104,13013180104,"Census Tract 1801.04, Barrow County, Georgia",2138,306,33,41,53,53,347,330,29,38,308,274,0,132,1368,282
1400000US13013180105,13013180105,"Census Tract 1801.05, Barrow County, Georgia",3242,529,55,59,43,48,586,539,0,132,273,321,41,65,2244,589
1400000US13013180106,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2787,436,73,90,93,91,61,69,313,294,821,590,113,157,1313,416
1400000US13013180107,13013180107,"Census Tract 1801.07, Barrow County, Georgia",3973,339,86,93,449,278,504,426,229,219,212,233,274,267,2219,453
1400000US13013180108,13013180108,"Census Tract 1801.08, Barrow County, Georgia",3732,422,416,308,329,262,215,147,0,132,113,112,13,21,2646,413
1400000US13013180203,13013180203,"Census Tract 1802.03, Barrow County, Georgia",3579,553,705,356,606,277,176,174,325,214,555,262,347,409,865,365
