GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3073,412,2864,416,209,243
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4579,502,4426,492,153,152
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",5053,449,3978,398,1075,316
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1397,174,1397,174,0,98
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4100,485,3968,464,132,163
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2117,230,1815,228,302,129
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4973,328,3684,309,1289,211
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1285,282,933,232,352,200
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",2739,534,2526,519,213,125
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3775,558,3739,561,36,39
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4561,595,4096,588,465,127
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2543,254,2533,258,10,15
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",951,254,951,254,0,98
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5081,467,5034,465,47,48
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7807,813,7379,804,428,214
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5337,532,5268,520,69,107
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4671,669,4475,718,196,163
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",4893,751,4869,750,24,20
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",4342,438,4342,438,0,98
