GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3040,426,2906,417,134,151
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4486,463,4255,457,231,185
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",5227,485,4428,425,799,307
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1353,284,1353,284,0,13
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4173,456,3668,374,505,285
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2254,301,1921,315,333,145
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4871,380,3467,303,1404,233
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1230,367,944,259,286,189
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",2674,405,2456,357,218,202
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3968,440,3788,464,180,163
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4482,424,4088,417,394,233
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2455,233,2443,233,12,22
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1028,233,1028,233,0,13
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5246,421,5200,427,46,41
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7248,798,6958,795,290,175
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5645,598,5533,608,112,135
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",5153,562,4995,563,158,103
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",5402,675,5278,665,124,119
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",4266,423,4266,423,0,13
1400000US13009970701,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2972,447,2966,445,6,12
1400000US13009970702,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",3512,499,3399,515,113,58
1400000US13009970800,13009970800,"Census Tract 9708, Baldwin County, Georgia",6934,629,6850,626,84,53
1400000US13011970100,13011970100,"Census Tract 9701, Banks County, Georgia",5235,380,4755,384,480,185
1400000US13011970200,13011970200,"Census Tract 9702, Banks County, Georgia",5336,374,5262,387,74,66
1400000US13011970300,13011970300,"Census Tract 9703, Banks County, Georgia",3870,310,3547,296,323,150
1400000US13011970400,13011970400,"Census Tract 9704, Banks County, Georgia",3809,288,3633,325,176,152
1400000US13013180103,13013180103,"Census Tract 1801.03, Barrow County, Georgia",3737,456,3464,474,273,278
1400000US13013180104,13013180104,"Census Tract 1801.04, Barrow County, Georgia",1881,294,1841,304,40,61
1400000US13013180105,13013180105,"Census Tract 1801.05, Barrow County, Georgia",2755,323,2731,330,24,36
1400000US13013180106,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2471,330,2172,275,299,276
1400000US13013180107,13013180107,"Census Tract 1801.07, Barrow County, Georgia",4105,449,3478,466,627,375
1400000US13013180108,13013180108,"Census Tract 1801.08, Barrow County, Georgia",3505,272,3347,301,158,140
1400000US13013180203,13013180203,"Census Tract 1802.03, Barrow County, Georgia",3494,390,3029,422,465,404
1400000US13013180204,13013180204,"Census Tract 1802.04, Barrow County, Georgia",2351,351,1959,318,392,250
1400000US13013180205,13013180205,"Census Tract 1802.05, Barrow County, Georgia",4307,512,4184,506,123,125
1400000US13013180206,13013180206,"Census Tract 1802.06, Barrow County, Georgia",3123,602,2746,491,377,486
1400000US13013180301,13013180301,"Census Tract 1803.01, Barrow County, Georgia",2160,235,1931,303,229,235
1400000US13013180302,13013180302,"Census Tract 1803.02, Barrow County, Georgia",5583,479,5145,453,438,316
1400000US13013180303,13013180303,"Census Tract 1803.03, Barrow County, Georgia",3894,420,3746,420,148,161
1400000US13013180401,13013180401,"Census Tract 1804.01, Barrow County, Georgia",4726,644,4726,644,0,13
