GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13017960200,13017960200,"Census Tract 9602, Ben Hill County, Georgia",1667,240,1598,232,69,103
1400000US13017960300,13017960300,"Census Tract 9603, Ben Hill County, Georgia",3888,579,3481,548,407,384
1400000US13017960400,13017960400,"Census Tract 9604, Ben Hill County, Georgia",3426,511,3000,498,426,320
1400000US13017960500,13017960500,"Census Tract 9605, Ben Hill County, Georgia",6132,584,5978,584,154,204
1400000US13019970100,13019970100,"Census Tract 9701, Berrien County, Georgia",1496,267,1454,257,42,61
1400000US13019970200,13019970200,"Census Tract 9702, Berrien County, Georgia",3834,401,3568,384,266,171
1400000US13019970300,13019970300,"Census Tract 9703, Berrien County, Georgia",3357,428,3142,388,215,164
1400000US13019970400,13019970400,"Census Tract 9704, Berrien County, Georgia",2816,360,2816,360,0,13
1400000US13019970500,13019970500,"Census Tract 9705, Berrien County, Georgia",3691,409,3427,380,264,182
1400000US13019970600,13019970600,"Census Tract 9706, Berrien County, Georgia",3980,467,3840,474,140,97
1400000US13021010100,13021010100,"Census Tract 101, Bibb County, Georgia",1666,303,1579,300,87,134
1400000US13021010200,13021010200,"Census Tract 102, Bibb County, Georgia",2224,233,2124,215,100,103
1400000US13021010300,13021010300,"Census Tract 103, Bibb County, Georgia",648,133,648,133,0,13
1400000US13021010400,13021010400,"Census Tract 104, Bibb County, Georgia",2053,348,2023,350,30,38
1400000US13021010500,13021010500,"Census Tract 105, Bibb County, Georgia",3734,370,3734,370,0,13
1400000US13021010800,13021010800,"Census Tract 108, Bibb County, Georgia",1433,212,1276,240,157,99
1400000US13021011000,13021011000,"Census Tract 110, Bibb County, Georgia",4075,605,3818,587,257,247
1400000US13021011100,13021011100,"Census Tract 111, Bibb County, Georgia",1972,254,1949,254,23,34
1400000US13021011500,13021011500,"Census Tract 115, Bibb County, Georgia",1489,278,1461,278,28,35
