GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3403,336,3316,355,87,114
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4676,400,4354,392,322,227
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4614,388,4063,382,551,249
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1398,223,1386,225,12,16
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4330,413,3572,393,758,277
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2269,313,1831,291,438,150
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4698,334,3438,283,1260,200
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1330,228,1012,179,318,156
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",3260,304,2927,327,333,247
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3773,318,3521,330,252,225
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4163,391,3894,340,269,242
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2261,191,2243,193,18,18
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1081,191,1081,191,0,13
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",4996,577,4883,565,113,165
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",6981,690,6729,674,252,178
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",6283,550,6081,582,202,155
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4924,534,4813,570,111,90
