GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3410,356,3410,356,0,13
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4665,477,4129,390,536,398
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4871,436,4284,512,587,304
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1453,237,1426,235,27,26
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4018,443,3445,369,573,394
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2085,290,1544,241,541,184
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4902,312,3575,231,1327,206
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1307,205,1165,189,142,91
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",3088,289,2793,314,295,224
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",4010,359,3613,306,397,220
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4124,311,3937,293,187,126
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2209,179,2167,177,42,37
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1083,179,1061,174,22,37
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5214,523,5091,559,123,168
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",6524,726,6286,676,238,193
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",6361,563,6148,555,213,161
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4926,598,4813,601,113,78
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",6391,845,6214,854,177,97
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",3651,399,3651,399,0,13
1400000US13009970701,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2985,364,2985,364,0,13
1400000US13009970702,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",2325,425,2296,429,29,31
1400000US13009970800,13009970800,"Census Tract 9708, Baldwin County, Georgia",7418,733,7339,735,79,48
1400000US13011970100,13011970100,"Census Tract 9701, Banks County, Georgia",5269,415,4696,360,573,252
1400000US13011970200,13011970200,"Census Tract 9702, Banks County, Georgia",5013,370,4914,373,99,77
1400000US13011970300,13011970300,"Census Tract 9703, Banks County, Georgia",4166,329,4144,324,22,34
1400000US13011970400,13011970400,"Census Tract 9704, Banks County, Georgia",3888,367,3424,361,464,265
1400000US13013180103,13013180103,"Census Tract 1801.03, Barrow County, Georgia",4674,500,4428,496,246,197
1400000US13013180104,13013180104,"Census Tract 1801.04, Barrow County, Georgia",1976,249,1791,252,185,155
1400000US13013180105,13013180105,"Census Tract 1801.05, Barrow County, Georgia",2802,310,2570,243,232,209
1400000US13013180106,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2831,318,2573,336,258,159
1400000US13013180107,13013180107,"Census Tract 1801.07, Barrow County, Georgia",3853,377,3330,455,523,315
1400000US13013180108,13013180108,"Census Tract 1801.08, Barrow County, Georgia",3202,336,3025,329,177,138
1400000US13013180203,13013180203,"Census Tract 1802.03, Barrow County, Georgia",3421,449,2728,424,693,377
1400000US13013180204,13013180204,"Census Tract 1802.04, Barrow County, Georgia",2732,342,2405,368,327,194
1400000US13013180205,13013180205,"Census Tract 1802.05, Barrow County, Georgia",4389,382,4120,406,269,187
1400000US13013180206,13013180206,"Census Tract 1802.06, Barrow County, Georgia",2716,319,2576,318,140,147
1400000US13013180301,13013180301,"Census Tract 1803.01, Barrow County, Georgia",2167,175,2049,170,118,101
1400000US13013180302,13013180302,"Census Tract 1803.02, Barrow County, Georgia",5507,427,5183,404,324,244
1400000US13013180303,13013180303,"Census Tract 1803.03, Barrow County, Georgia",4323,438,3895,417,428,332
1400000US13013180401,13013180401,"Census Tract 1804.01, Barrow County, Georgia",5468,637,5267,685,201,193
1400000US13013180402,13013180402,"Census Tract 1804.02, Barrow County, Georgia",6093,699,5344,712,749,160
1400000US13013180501,13013180501,"Census Tract 1805.01, Barrow County, Georgia",5718,537,4986,440,732,381
1400000US13013180502,13013180502,"Census Tract 1805.02, Barrow County, Georgia",4548,454,4237,456,311,231
1400000US13013180503,13013180503,"Census Tract 1805.03, Barrow County, Georgia",5592,856,4688,425,904,769
1400000US13015960101,13015960101,"Census Tract 9601.01, Bartow County, Georgia",1474,221,1453,220,21,37
1400000US13015960102,13015960102,"Census Tract 9601.02, Bartow County, Georgia",9218,811,8781,790,437,313
1400000US13015960200,13015960200,"Census Tract 9602, Bartow County, Georgia",11751,900,11077,844,674,400
1400000US13015960300,13015960300,"Census Tract 9603, Bartow County, Georgia",6640,569,6133,607,507,379
1400000US13015960401,13015960401,"Census Tract 9604.01, Bartow County, Georgia",9387,1302,8334,1130,1053,577
1400000US13015960402,13015960402,"Census Tract 9604.02, Bartow County, Georgia",8852,816,8465,809,387,214
1400000US13015960500,13015960500,"Census Tract 9605, Bartow County, Georgia",8162,898,7306,876,856,474
1400000US13015960600,13015960600,"Census Tract 9606, Bartow County, Georgia",9323,747,8130,723,1193,493
1400000US13015960700,13015960700,"Census Tract 9607, Bartow County, Georgia",7272,651,6369,731,903,400
1400000US13015960801,13015960801,"Census Tract 9608.01, Bartow County, Georgia",3485,373,3203,376,282,233
1400000US13015960802,13015960802,"Census Tract 9608.02, Bartow County, Georgia",2823,327,2333,355,490,319
1400000US13015960803,13015960803,"Census Tract 9608.03, Bartow County, Georgia",5722,444,5472,462,250,152
1400000US13015960901,13015960901,"Census Tract 9609.01, Bartow County, Georgia",3236,356,3019,330,217,157
1400000US13015960902,13015960902,"Census Tract 9609.02, Bartow County, Georgia",6314,664,5846,622,468,328
1400000US13015961000,13015961000,"Census Tract 9610, Bartow County, Georgia",7677,614,7369,665,308,273
