GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",2860,400,2707,406,153,200
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4230,483,4165,472,65,92
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4992,537,3834,449,1158,274
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1882,358,1882,358,0,132
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4086,469,3997,460,89,118
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2218,327,1883,323,335,157
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",5055,317,3815,322,1240,207
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1059,251,766,196,293,212
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",2711,515,2471,548,240,224
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3996,593,3975,597,21,26
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4262,530,3873,543,389,219
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2370,293,2370,293,0,132
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1287,293,1287,293,0,132
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5201,519,5013,524,188,158
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7536,1007,7311,992,225,128
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5400,510,5342,510,58,77
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4990,802,4771,776,219,133
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",4238,565,4186,557,52,45
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",4552,523,4552,523,0,132
1400000US13009970701,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",3240,714,3225,702,15,24
1400000US13009970702,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",4617,718,4500,693,117,54
1400000US13009970800,13009970800,"Census Tract 9708, Baldwin County, Georgia",7131,714,7060,714,71,34
1400000US13011970100,13011970100,"Census Tract 9701, Banks County, Georgia",5361,442,4902,430,459,157
1400000US13011970200,13011970200,"Census Tract 9702, Banks County, Georgia",5123,427,5060,427,63,60
1400000US13011970300,13011970300,"Census Tract 9703, Banks County, Georgia",4172,311,3712,302,460,174
1400000US13011970400,13011970400,"Census Tract 9704, Banks County, Georgia",3184,328,3175,325,9,15
1400000US13013180103,13013180103,"Census Tract 1801.03, Barrow County, Georgia",3350,512,3153,553,197,234
1400000US13013180104,13013180104,"Census Tract 1801.04, Barrow County, Georgia",2138,306,2078,317,60,71
1400000US13013180105,13013180105,"Census Tract 1801.05, Barrow County, Georgia",3242,529,3242,529,0,132
1400000US13013180106,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2787,436,2224,428,563,513
1400000US13013180107,13013180107,"Census Tract 1801.07, Barrow County, Georgia",4025,368,3780,396,245,272
1400000US13013180108,13013180108,"Census Tract 1801.08, Barrow County, Georgia",3750,419,3694,417,56,90
1400000US13013180203,13013180203,"Census Tract 1802.03, Barrow County, Georgia",3579,553,3104,389,475,453
1400000US13013180204,13013180204,"Census Tract 1802.04, Barrow County, Georgia",2285,415,1880,372,405,285
1400000US13013180205,13013180205,"Census Tract 1802.05, Barrow County, Georgia",4032,686,3633,551,399,385
1400000US13013180206,13013180206,"Census Tract 1802.06, Barrow County, Georgia",3461,600,2868,428,593,540
1400000US13013180301,13013180301,"Census Tract 1803.01, Barrow County, Georgia",1895,328,1808,337,87,220
1400000US13013180302,13013180302,"Census Tract 1803.02, Barrow County, Georgia",4954,557,4525,548,429,371
1400000US13013180303,13013180303,"Census Tract 1803.03, Barrow County, Georgia",4254,382,4070,368,184,250
1400000US13013180401,13013180401,"Census Tract 1804.01, Barrow County, Georgia",3764,465,3740,475,24,176
1400000US13013180402,13013180402,"Census Tract 1804.02, Barrow County, Georgia",5947,479,5301,534,646,490
1400000US13013180501,13013180501,"Census Tract 1805.01, Barrow County, Georgia",4968,602,4356,553,612,400
1400000US13013180502,13013180502,"Census Tract 1805.02, Barrow County, Georgia",4216,453,4044,421,172,148
1400000US13013180503,13013180503,"Census Tract 1805.03, Barrow County, Georgia",3712,433,3529,488,183,210
1400000US13015960101,13015960101,"Census Tract 9601.01, Bartow County, Georgia",1377,265,1361,257,16,33
1400000US13015960102,13015960102,"Census Tract 9601.02, Bartow County, Georgia",9893,678,9609,718,284,171
1400000US13015960200,13015960200,"Census Tract 9602, Bartow County, Georgia",10911,707,10554,732,357,261
1400000US13015960300,13015960300,"Census Tract 9603, Bartow County, Georgia",7541,838,7367,823,174,187
1400000US13015960401,13015960401,"Census Tract 9604.01, Bartow County, Georgia",8380,738,7061,680,1319,329
1400000US13015960402,13015960402,"Census Tract 9604.02, Bartow County, Georgia",8458,573,7798,608,660,236
1400000US13015960500,13015960500,"Census Tract 9605, Bartow County, Georgia",7204,854,6239,822,965,337
1400000US13015960600,13015960600,"Census Tract 9606, Bartow County, Georgia",8922,714,8182,693,740,363
1400000US13015960700,13015960700,"Census Tract 9607, Bartow County, Georgia",6281,671,5287,523,994,365
1400000US13015960801,13015960801,"Census Tract 9608.01, Bartow County, Georgia",3172,319,3092,314,80,82
1400000US13015960802,13015960802,"Census Tract 9608.02, Bartow County, Georgia",2891,367,2521,308,370,220
1400000US13015960803,13015960803,"Census Tract 9608.03, Bartow County, Georgia",5200,552,4668,463,532,392
1400000US13015960901,13015960901,"Census Tract 9609.01, Bartow County, Georgia",2248,381,2188,372,60,89
1400000US13015960902,13015960902,"Census Tract 9609.02, Bartow County, Georgia",6505,413,6247,457,258,213
1400000US13015961000,13015961000,"Census Tract 9610, Bartow County, Georgia",8440,665,8286,679,154,100
1400000US13017960100,13017960100,"Census Tract 9601, Ben Hill County, Georgia",2100,330,2100,330,0,132
1400000US13017960200,13017960200,"Census Tract 9602, Ben Hill County, Georgia",1637,337,1518,320,119,170
1400000US13017960300,13017960300,"Census Tract 9603, Ben Hill County, Georgia",4242,474,4242,474,0,132
1400000US13017960400,13017960400,"Census Tract 9604, Ben Hill County, Georgia",4206,565,3343,567,863,176
1400000US13017960500,13017960500,"Census Tract 9605, Ben Hill County, Georgia",5446,677,5402,650,44,57
1400000US13019970100,13019970100,"Census Tract 9701, Berrien County, Georgia",1768,336,1768,336,0,132
1400000US13019970200,13019970200,"Census Tract 9702, Berrien County, Georgia",3792,432,3357,448,435,153
1400000US13019970300,13019970300,"Census Tract 9703, Berrien County, Georgia",2823,862,2717,827,106,66
1400000US13019970400,13019970400,"Census Tract 9704, Berrien County, Georgia",2873,608,2822,607,51,92
1400000US13019970500,13019970500,"Census Tract 9705, Berrien County, Georgia",3817,527,3785,522,32,56
1400000US13019970600,13019970600,"Census Tract 9706, Berrien County, Georgia",3635,465,3473,471,162,112
1400000US13021010100,13021010100,"Census Tract 101, Bibb County, Georgia",1914,449,1814,387,100,173
