gisjn_tct,year,tractid,totpop_pov,povpop,povpop185,totalhh,hh100k_up,hh150k_up,tractpop,afam_pop,asn_pop,hisp_pop,totpop_age,under18,over64,povpop_pct,povpop185_pct,hh100k_pct,hh150k_pct,afam_pct,asn_pct,hisp_pct,under18_pct,over64_pct,aldi,bell.s,bi.lo,big.bear,bp.food.mart,chevron.food.mart,circle.k,citgo.food.mart,costco,cvs.pharmacy,dollar.general,dollar.tree,exxon.food.mart,family.dollar.store,flash.foods.llc,food.depot,food.lion,freds.store,harveys,iga,ingles.markets,jet.food.store,kmart,kroger,mapco.express,one.stop,piggly.wiggly,publix,quick.mart,quick.stop,quiktrip,race.trac,rite.aid,sam.s.club,save.a.lot,shell.food.mart,target,texaco.food.mart,the.fresh.market,trader.joe,walgreen.s.,walmart,wayfield,whole.foods,wholesale,winn.dixie,snap_enroll
G13045910104,Y2008,13045910104,8598,650,2401,2901,375,49,8660,1011,0,496,8660,1948,736,7.559897651,27.92509886,12.92657704,1.689072734,11.6743649,0,5.727482679,22.49422633,8.498845266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819.2015343
G13045910502,Y2013,13045910502,2935,1209,2320,1056,39,0,3006,1578,0,820,3006,538,262,41.19250426,79.04599659,3.693181818,0,52.49500998,0,27.27877578,17.89753826,8.71590153,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,902.2524958
G13045910502,Y2012,13045910502,2589,975,1863,962,26,0,2619,1351,0,792,2619,409,265,37.65932793,71.95828505,2.702702703,0,51.58457426,0,30.24054983,15.61664758,10.11836579,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,916.4628666
G13045910502,Y2011,13045910502,2410,1108,1936,981,21,0,2424,1150,24,794,2424,400,191,45.97510373,80.33195021,2.140672783,0,47.44224422,0.99009901,32.75577558,16.50165017,7.879537954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,870.2261379
G13045910502,Y2010,13045910502,2966,1172,2401,1070,25,0,2978,1577,37,852,2978,518,259,39.51449764,80.95077546,2.336448598,0,52.95500336,1.242444594,28.60980524,17.39422431,8.697112156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,769.6930671
G13045910502,Y2009,13045910502,3134,1479,2592,1116,24,0,3143,1534,42,868,3143,619,261,47.19208679,82.70580728,2.150537634,0,48.80687241,1.336302895,27.6169265,19.69455934,8.304167992,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,668.2055684
G13045910502,Y2008,13045910502,3431,1650,2775,1238,31,0,3443,1595,34,940,3443,678,269,48.09093559,80.88020985,2.504038772,0,46.32587859,0.987510892,27.30177171,19.69212896,7.812953819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,568.4148305
G13045910800,Y2013,13045910800,4095,617,1247,1448,332,106,4124,106,12,149,4124,713,516,15.06715507,30.45177045,22.9281768,7.320441989,2.570320078,0.290979631,3.61299709,17.28903977,12.51212415,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816.249388
G13045910800,Y2012,13045910800,3893,487,1080,1408,282,89,3924,128,12,137,3924,726,479,12.50963267,27.74210121,20.02840909,6.321022727,3.261977574,0.305810398,3.491335372,18.50152905,12.2069317,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874.3595307
G13045910800,Y2011,13045910800,4111,455,1185,1433,269,60,4130,161,0,118,4130,826,487,11.0678667,28.82510338,18.7718074,4.187020237,3.898305085,0,2.857142857,20,11.79176755,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801.5003376
