gisjn_tct,Atl_Core,tractid,afam_pct,area_sqkm,asn_pct,hh100k_pct,hh150k_pct,hisp_pct,over64_pct,pop1k,popden1k,povpop_pct,povpop185_pct,snap_enroll,snap_pct,snap1k,totpop_pov,under18_pct,chevron.fo,cvs.pharma,dollar.gen,family.dol,ingles.mar,kroger,publix,shell.food,target,walmart,cluster
G13067030901,1,13067030901,24.076545765,10.61740883883498,1.6157984551666666,30.016092223333334,16.36325782,5.418304728333333,13.63438078,7.333333333333333,0.690689550025654,14.339296427833334,24.012604233333334,536.8389721,7.331792447971417,0.5368389721,7333.333333333333,16.233572545,1.7045084255163507,1.001510227654854,0.531170423514681,0.9735597171312308,2.5281981498394965,0.55254992757871,1.2614412412149238,1.561953068660887,1.477302010179516,1.6654599640767414,2
G13067031503,1,13067031503,51.98358046333333,11.885825725008011,1.6743548726666666,22.71624671,3.9698487571666665,13.500623193333332,9.585516799333334,8.9405,0.7521984763068679,13.011007797333333,30.086084085,619.0153985,6.881977773972807,0.6190153985,8940.5,23.466516236666667,1.565156871844331,1.222694398939277,0.9351159651644059,1.865681266056629,2.5965859739241997,1.0441301558435176,1.1861493234209313,1.750293041233254,1.555600813019195,0.7830962324520284,4
G13067031307,1,13067031307,26.141412626666668,10.506648643204496,1.1665044393333333,34.00536251333333,15.60898663,7.805221703666667,12.216225815,5.835,0.5553626278131961,8.191846249833333,16.989832363333335,1003.3778713,17.32192906857776,1.0033778713,5835,15.733669351666666,1.356096586312946,0.9929658514055023,1.3656383317824097,1.1698805601788154,2.6465625800226227,0.5874185677922943,0.5756539641926335,1.1403754351586257,1.5405585663273402,1.311486634184103,2
G13067031308,1,13067031308,47.31787624333333,6.263275380496711,2.24308333,7.1201038793333336,2.579146549166667,20.002151315,10.183415820666667,4.922666666666667,0.7859572456282887,22.766154135,45.786760654999995,622.9239733833333,12.51589769033183,0.6229239733833334,4922.666666666667,21.431088693333333,0.6009131215665762,0.4350445273282108,0.4424034680987752,0.3925494653479331,2.5098415685366544,1.1719953335831614,1.1921730385208966,0.6175755696018541,1.736795156534559,1.3981930007550596,5
G13067030319,1,13067030319,1.25894131,7.345386635804773,7.669684130166666,50.68754407833333,28.110613066666666,2.0149015618333332,14.268346988333334,4.182833333333333,0.5694503966536344,5.469944081833334,10.081417727833333,90.63893196,2.152930642345055,0.09063893196,4182.833333333333,22.54987652333333,2.2093197572016274,1.12639586715335,2.211584617437041,1.7829855389213904,2.833085839410391,0.3994664180182887,0.8559451987028021,1.6611598696510999,1.3268474499069882,1.861160394135802,3
G13067030333,1,13067030333,5.2904291815,7.766431197879553,8.581782448166667,57.00121286833333,28.108460173333334,2.3983177873333332,15.91689035,6.156499999999999,0.7927064366038409,4.188817648666666,11.901669519,121.62064620166666,1.9832081623777291,0.12162064620166667,6156.5,20.798903221666666,2.04263025178599,1.6616570264217712,1.7198123702216708,1.8926853944552318,2.7467674745217936,1.1873514197749464,1.0450241237635187,1.7758392699196013,1.1516581360267786,1.8210327646708884,3
G13067030332,1,13067030332,2.9083003983333335,3.519987747984171,13.196944731333334,57.24980295666667,35.99598176166666,2.0522077878333334,13.386230438333333,3.292,0.9352305279713728,3.6338564851666666,8.1322368515,125.20186253,3.772826783600059,0.12520186252999999,3292,23.212896365,2.2809624521850638,1.6743848880086731,2.0057236906639972,1.9859462232239429,2.6781832686621256,1.2967526705821633,0.9394670097426772,1.7039443762196893,0.3092199434312483,1.4675504484991475,3
G13067030335,1,13067030335,2.484972502833333,5.195770515333325,3.448280677,58.21849555166666,34.79083893666667,3.614847507,10.7674784265,4.672166666666667,0.8992249855682728,4.242528706666667,7.1610869888333335,197.66373051833332,4.275671257969181,0.19766373051833333,4672.166666666667,22.517893841666666,2.475075797629843,1.6692739982444758,2.2979605174129234,1.7269904482168101,2.5495455823737716,0.5102418275572931,0.8241330318492451,1.6440349214183927,1.143491945187355,0.6827266462078088,3
G13067031106,1,13067031106,35.35718344833333,9.003351055860191,3.0366574275000002,22.502058910000002,10.161606263666666,17.389269679999998,13.549937738333334,7.782666666666667,0.8644188834113057,10.9830881185,23.811892746666665,1331.8157059166667,16.965478412788205,1.3318157059166666,7782.666666666667,21.01563028,1.416292541646631,0.6290969125269334,0.8671348518073669,1.1808022033438315,2.6049069098147255,1.099511490242722,1.1634654237419524,1.0511556752716822,0.92070445685611,0.27052062903037943,2
G13067030331,1,13067030331,5.046393279666667,6.321796186159849,4.735100109999999,54.404999698333334,27.63391644,3.826872970166667,10.781459743833333,5.753333333333334,0.9100789022475863,2.487214116,7.420346563,237.64210178333332,4.157981283644017,0.23764210178333334,5753.333333333333,22.43053639,2.3641073841280305,1.7819087655598076,2.0641004953314672,2.026248264644069,2.5666648188729604,1.214681262854381,1.124408331493214,1.506936301817484,1.0429830052552662,1.145822655942318,3
G13067030322,1,13067030322,6.920145217333333,3.6720813417082727,5.502921177999999,48.400196505,21.390710705,7.1206430705,10.417300731166666,3.444,0.9378877207545278,3.7173930221666667,11.168717623000001,145.13306407833335,4.25771166376338,0.14513306407833332,3444,21.03393545666667,2.4974198264964307,1.7842448682634753,2.055122295546154,2.12174301375173,2.110458985707596,0.6033664941622132,0.46993023148031515,1.6885678940391533,0.5414712249719267,1.1729225505778658,1
G13067031112,1,13067031112,24.050730833333333,3.9974971650431828,4.503246315,42.54289951166666,23.635826858333335,5.935052763666667,11.069549672166666,4.966666666666667,1.2424440747822305,5.387963282666667,15.596198718333333,554.6241717166666,11.09317928940407,0.5546241717166667,4966.666666666667,12.151513218333333,0.9949987560577832,0.4725931256336428,1.6277737586349776,0.21110813095219516,2.8705062641232253,0.8150915332915737,0.8734175933292491,1.0558801627025376,1.4263389130487505,1.5921989072693663,2
G13067030504,1,13067030504,20.987944621666667,6.765799206412554,8.99132232,29.695653313333334,8.959664997166668,16.28053619,10.482429443,6.368166666666667,0.9412290362727562,14.378848316666668,33.924364323333336,294.7819781,4.560327866596934,0.2947819781,6368.166666666667,14.266289591666666,1.8101560236638576,1.4339562335855156,1.0678245024064288,1.2306933233232147,2.6368177190869666,0.861119258157222,0.8437425210728604,1.1413474553161156,1.8421025314799604,1.202097727533919,2
