GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",2860,400,2707,406,2652,410,55,66,0,132,0,132,0,132,0,132,0,132,0,132,0,132,153,200,59,101,0,132,0,132,0,132,0,132,94,163,0,132,0,132,0,132
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4230,483,4165,472,2130,420,2023,272,0,132,0,132,0,132,0,132,12,19,0,132,12,19,65,92,29,47,0,132,0,132,0,132,0,132,36,73,0,132,0,132,0,132
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4992,537,3834,449,3029,375,528,235,15,23,183,217,0,132,79,124,0,132,0,132,0,132,1158,274,0,132,0,132,0,132,0,132,0,132,1158,274,0,132,0,132,0,132
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1882,358,1882,358,1506,337,376,164,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4086,469,3997,460,3469,450,528,267,0,132,0,132,0,132,0,132,0,132,0,132,0,132,89,118,68,112,0,132,0,132,0,132,0,132,21,40,0,132,0,132,0,132
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2218,327,1883,323,1250,259,631,180,2,4,0,132,0,132,0,132,0,132,0,132,0,132,335,157,150,104,0,132,0,132,0,132,0,132,185,121,0,132,0,132,0,132
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",5055,317,3815,322,2789,259,960,194,2,4,0,132,0,132,0,132,64,77,0,132,64,77,1240,207,590,167,21,34,0,132,0,132,0,132,629,183,0,132,0,132,0,132
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1059,251,766,196,721,197,45,59,0,132,0,132,0,132,0,132,0,132,0,132,0,132,293,212,293,212,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",2711,515,2471,548,2298,517,147,223,0,132,26,51,0,132,0,132,0,132,0,132,0,132,240,224,9,16,0,132,0,132,0,132,0,132,231,226,0,132,0,132,0,132
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3996,593,3975,597,3067,543,908,260,0,132,0,132,0,132,0,132,0,132,0,132,0,132,21,26,14,24,0,132,0,132,0,132,0,132,7,12,0,132,0,132,0,132
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4262,530,3873,543,3026,551,807,268,0,132,0,132,0,132,0,132,40,68,0,132,40,68,389,219,99,147,0,132,0,132,0,132,0,132,290,234,0,132,0,132,0,132
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2370,293,2370,293,1000,354,1347,342,23,36,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1287,293,1287,293,472,252,815,295,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5201,519,5013,524,3275,424,1647,351,0,132,57,85,0,132,0,132,34,31,0,132,34,31,188,158,150,161,16,29,0,132,0,132,0,132,0,132,22,35,0,132,22,35
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7536,1007,7311,992,4863,748,2347,590,0,132,94,102,0,132,0,132,7,17,0,132,7,17,225,128,225,128,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5400,510,5342,510,3111,483,2006,409,0,132,184,158,0,132,0,132,41,45,0,132,41,45,58,77,33,50,0,132,0,132,0,132,0,132,0,132,25,30,17,26,8,16
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4990,802,4771,776,3370,630,1342,390,0,132,31,34,0,132,0,132,28,30,0,132,28,30,219,133,120,93,63,98,0,132,0,132,0,132,0,132,36,59,0,132,36,59
