GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US13019970300,13019970300,"Census Tract 9703, Berrien County, Georgia",2823,862
1400000US13019970400,13019970400,"Census Tract 9704, Berrien County, Georgia",2873,608
1400000US13019970500,13019970500,"Census Tract 9705, Berrien County, Georgia",3817,527
1400000US13019970600,13019970600,"Census Tract 9706, Berrien County, Georgia",3635,465
1400000US13021010100,13021010100,"Census Tract 101, Bibb County, Georgia",1914,449
1400000US13021010200,13021010200,"Census Tract 102, Bibb County, Georgia",2249,256
1400000US13021010300,13021010300,"Census Tract 103, Bibb County, Georgia",912,186
1400000US13021010400,13021010400,"Census Tract 104, Bibb County, Georgia",2592,449
1400000US13021010500,13021010500,"Census Tract 105, Bibb County, Georgia",3552,966
1400000US13021010800,13021010800,"Census Tract 108, Bibb County, Georgia",1540,388
1400000US13021011000,13021011000,"Census Tract 110, Bibb County, Georgia",4470,787
1400000US13021011100,13021011100,"Census Tract 111, Bibb County, Georgia",2261,442
1400000US13021011500,13021011500,"Census Tract 115, Bibb County, Georgia",1173,259
1400000US13021011701,13021011701,"Census Tract 117.01, Bibb County, Georgia",2517,423
1400000US13021011702,13021011702,"Census Tract 117.02, Bibb County, Georgia",4793,608
1400000US13021011800,13021011800,"Census Tract 118, Bibb County, Georgia",3741,520
1400000US13021011900,13021011900,"Census Tract 119, Bibb County, Georgia",1903,381
1400000US13021012000,13021012000,"Census Tract 120, Bibb County, Georgia",4415,337
1400000US13021012101,13021012101,"Census Tract 121.01, Bibb County, Georgia",2456,465
1400000US13021012102,13021012102,"Census Tract 121.02, Bibb County, Georgia",4644,527
1400000US13021012200,13021012200,"Census Tract 122, Bibb County, Georgia",1846,346
1400000US13021012300,13021012300,"Census Tract 123, Bibb County, Georgia",3190,633
1400000US13021012400,13021012400,"Census Tract 124, Bibb County, Georgia",3128,541
1400000US13021012500,13021012500,"Census Tract 125, Bibb County, Georgia",3995,498
1400000US13021012600,13021012600,"Census Tract 126, Bibb County, Georgia",4783,814
1400000US13021012700,13021012700,"Census Tract 127, Bibb County, Georgia",2616,398
1400000US13021012800,13021012800,"Census Tract 128, Bibb County, Georgia",3929,592
1400000US13021012900,13021012900,"Census Tract 129, Bibb County, Georgia",1985,483
1400000US13021013101,13021013101,"Census Tract 131.01, Bibb County, Georgia",6472,862
