GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3162,416
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4784,505
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4659,499
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1586,284
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4163,614
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2247,306
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4867,352
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1218,265
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",3277,370
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3961,373
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",3921,381
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2407,168
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1003,163
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5208,519
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7177,763
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5941,635
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4957,525
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",5651,671
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",4046,481
1400000US13009970701,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2939,366
1400000US13009970702,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",3001,425
1400000US13009970800,13009970800,"Census Tract 9708, Baldwin County, Georgia",7098,663
1400000US13011970100,13011970100,"Census Tract 9701, Banks County, Georgia",5193,330
1400000US13011970200,13011970200,"Census Tract 9702, Banks County, Georgia",5354,339
1400000US13011970300,13011970300,"Census Tract 9703, Banks County, Georgia",4066,310
1400000US13011970400,13011970400,"Census Tract 9704, Banks County, Georgia",3720,296
1400000US13013180103,13013180103,"Census Tract 1801.03, Barrow County, Georgia",4075,445
1400000US13013180104,13013180104,"Census Tract 1801.04, Barrow County, Georgia",2048,306
