GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3162,416,2928,422,75,48,15,23,14,23,0,13,130,164,0,13,0,13,0,13
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4784,505,2427,473,2154,325,0,13,95,139,0,13,73,110,35,58,35,58,0,13
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4659,499,3673,548,633,229,6,12,0,13,0,13,306,370,41,59,0,13,41,59
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1586,284,1218,255,368,167,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4163,614,3740,617,342,183,0,13,0,13,8,13,37,65,36,47,0,13,36,47
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2247,306,1354,244,532,152,2,4,0,13,0,13,256,144,103,102,17,19,86,101
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4867,352,2903,314,860,176,11,18,0,13,0,13,1032,248,61,51,0,13,61,51
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1218,265,1168,263,42,40,0,13,0,13,0,13,8,14,0,13,0,13,0,13
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",3277,370,2897,397,80,83,0,13,13,22,11,21,276,224,0,13,0,13,0,13
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3961,373,2705,368,1005,166,0,13,23,37,0,13,217,195,11,18,0,13,11,18
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",3921,381,3132,368,789,134,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2407,168,760,190,1642,226,0,13,0,13,0,13,0,13,5,10,0,13,5,10
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1003,163,585,174,418,136,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5208,519,2904,376,2259,474,0,19,0,19,0,19,0,19,45,57,0,19,45,57
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7177,763,4092,470,2570,654,16,24,240,140,31,52,212,187,16,26,0,19,16,26
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5941,635,3510,523,2094,615,0,19,153,122,0,19,121,153,63,50,17,27,46,43
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4957,525,3321,523,1453,468,0,13,109,94,0,13,0,13,74,62,65,61,9,16
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",5651,671,3274,634,2090,532,0,19,145,115,0,19,0,19,142,110,0,19,142,110
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",4046,481,1267,258,2638,406,0,13,40,62,0,13,0,13,101,127,0,13,101,127
1400000US13009970701,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2939,366,812,179,2065,327,5,10,29,39,0,13,7,11,21,22,0,13,21,22
1400000US13009970702,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",3001,425,1264,291,1712,365,0,13,16,16,0,13,6,9,3,5,3,5,0,13
1400000US13009970800,13009970800,"Census Tract 9708, Baldwin County, Georgia",7098,663,4901,599,2133,485,27,24,0,19,0,19,27,27,10,19,0,19,10,19
1400000US13011970100,13011970100,"Census Tract 9701, Banks County, Georgia",5193,330,5042,330,0,19,0,19,24,56,0,19,85,87,42,49,7,13,35,47
1400000US13011970200,13011970200,"Census Tract 9702, Banks County, Georgia",5354,339,4761,339,370,148,13,18,192,56,0,19,0,19,18,24,0,19,18,24
1400000US13011970300,13011970300,"Census Tract 9703, Banks County, Georgia",4066,310,3777,269,37,60,11,18,0,13,0,13,210,185,31,41,0,13,31,41
1400000US13011970400,13011970400,"Census Tract 9704, Banks County, Georgia",3720,296,3523,294,109,127,0,13,0,13,0,13,43,54,45,43,0,13,45,43
1400000US13013180103,13013180103,"Census Tract 1801.03, Barrow County, Georgia",4075,445,3621,438,72,79,0,13,230,170,0,13,85,129,67,72,0,13,67,72
1400000US13013180104,13013180104,"Census Tract 1801.04, Barrow County, Georgia",2048,306,1646,271,219,180,0,13,60,93,0,13,68,76,55,71,0,13,55,71
1400000US13013180105,13013180105,"Census Tract 1801.05, Barrow County, Georgia",2480,261,2074,285,109,129,70,147,227,152,0,13,0,13,0,13,0,13,0,13
1400000US13013180106,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2531,285,2183,322,220,187,0,13,19,29,0,13,11,27,98,109,16,41,82,94
1400000US13013180107,13013180107,"Census Tract 1801.07, Barrow County, Georgia",3767,411,2749,451,357,236,0,13,389,228,0,13,188,154,84,75,26,40,58,55
1400000US13013180108,13013180108,"Census Tract 1801.08, Barrow County, Georgia",3566,357,2951,420,157,160,87,108,237,155,0,13,65,88,69,75,12,20,57,70
1400000US13013180203,13013180203,"Census Tract 1802.03, Barrow County, Georgia",3167,460,1882,420,684,237,0,13,383,220,0,13,218,228,0,13,0,13,0,13
1400000US13013180204,13013180204,"Census Tract 1802.04, Barrow County, Georgia",2603,408,1613,348,790,224,0,13,94,101,0,13,76,87,30,34,0,13,30,34
1400000US13013180205,13013180205,"Census Tract 1802.05, Barrow County, Georgia",4588,473,3401,498,901,331,0,13,161,139,0,13,12,18,113,101,18,30,95,97
1400000US13013180206,13013180206,"Census Tract 1802.06, Barrow County, Georgia",3141,437,2398,455,160,197,0,13,0,13,0,13,359,401,224,248,0,13,224,248
1400000US13013180301,13013180301,"Census Tract 1803.01, Barrow County, Georgia",2290,294,2130,296,114,97,0,13,20,34,0,13,17,22,9,17,0,13,9,17
1400000US13013180302,13013180302,"Census Tract 1803.02, Barrow County, Georgia",5585,455,4842,488,322,190,54,80,0,19,0,19,0,19,367,258,0,19,367,258
1400000US13013180303,13013180303,"Census Tract 1803.03, Barrow County, Georgia",3729,317,3270,345,279,235,0,13,59,68,0,13,9,17,112,103,0,13,112,103
1400000US13013180401,13013180401,"Census Tract 1804.01, Barrow County, Georgia",5190,574,4552,562,565,200,0,19,48,86,0,19,0,19,25,37,4,8,21,35
1400000US13013180402,13013180402,"Census Tract 1804.02, Barrow County, Georgia",6273,617,4618,445,1417,350,0,19,49,60,0,19,0,19,189,218,0,19,189,218
1400000US13013180501,13013180501,"Census Tract 1805.01, Barrow County, Georgia",5313,574,4179,465,795,306,0,19,107,93,0,19,183,214,49,53,17,27,32,44
1400000US13013180502,13013180502,"Census Tract 1805.02, Barrow County, Georgia",4579,460,4170,426,133,102,0,13,78,86,0,13,5,7,193,105,40,30,153,97
1400000US13013180503,13013180503,"Census Tract 1805.03, Barrow County, Georgia",5008,696,3956,661,731,259,0,19,213,180,0,19,68,80,40,66,0,19,40,66
1400000US13015960101,13015960101,"Census Tract 9601.01, Bartow County, Georgia",1657,236,1645,238,0,13,0,13,0,13,0,13,0,13,12,21,0,13,12,21
1400000US13015960102,13015960102,"Census Tract 9601.02, Bartow County, Georgia",9628,856,9076,786,500,388,0,19,24,30,0,19,4,6,24,42,0,19,24,42
1400000US13015960200,13015960200,"Census Tract 9602, Bartow County, Georgia",12155,935,10180,984,1163,499,87,87,200,141,0,21,345,314,180,186,0,21,180,186
1400000US13015960300,13015960300,"Census Tract 9603, Bartow County, Georgia",7310,684,6471,746,467,202,3,5,101,112,8,14,222,284,38,31,4,6,34,30
1400000US13015960401,13015960401,"Census Tract 9604.01, Bartow County, Georgia",8869,1062,6649,854,1322,385,0,19,100,107,15,59,596,501,187,159,0,19,187,159
1400000US13015960402,13015960402,"Census Tract 9604.02, Bartow County, Georgia",8772,833,6988,817,968,376,89,113,0,19,0,19,469,360,258,194,62,70,196,187
1400000US13015960500,13015960500,"Census Tract 9605, Bartow County, Georgia",7965,809,6135,786,1238,391,114,110,0,19,0,19,443,398,35,61,0,19,35,61
1400000US13015960600,13015960600,"Census Tract 9606, Bartow County, Georgia",8693,809,6549,780,1610,461,0,19,11,21,0,19,425,361,98,103,0,19,98,103
1400000US13015960700,13015960700,"Census Tract 9607, Bartow County, Georgia",6116,750,4438,629,886,477,0,19,214,197,0,19,457,299,121,137,71,116,50,81
1400000US13015960801,13015960801,"Census Tract 9608.01, Bartow County, Georgia",3487,408,3057,436,370,185,18,32,0,13,0,13,16,24,26,38,0,13,26,38
1400000US13015960802,13015960802,"Census Tract 9608.02, Bartow County, Georgia",2718,315,2506,312,45,69,30,46,6,11,0,13,87,142,44,75,0,13,44,75
1400000US13015960803,13015960803,"Census Tract 9608.03, Bartow County, Georgia",5676,554,4914,525,254,120,184,147,71,82,0,19,163,153,90,73,0,19,90,73
