GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3410,356,3311,353,67,64,21,34,11,23,0,13,0,13,0,13,0,13,0,13
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4665,477,2354,478,2055,328,0,13,58,80,0,13,133,201,65,91,60,90,5,9
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4871,436,3612,530,759,295,0,13,85,79,0,13,234,292,181,167,0,13,181,167
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1453,237,1005,171,448,157,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4018,443,3839,440,150,73,0,13,0,13,12,19,0,13,17,19,0,13,17,19
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2085,290,1254,216,420,136,0,13,0,13,0,13,311,155,100,92,12,14,88,90
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4902,312,3080,333,962,147,10,17,0,13,0,13,783,239,67,66,0,13,67,66
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1307,205,1207,197,47,43,14,19,0,13,0,13,19,21,20,32,20,32,0,13
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",3088,289,2795,287,117,86,0,13,15,23,5,9,150,180,6,11,0,13,6,11
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",4010,359,2620,268,942,177,0,13,26,38,0,13,336,211,86,80,43,66,43,35
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4124,311,3331,310,619,173,0,13,96,129,27,39,0,13,51,47,0,13,51,47
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2209,179,908,185,1249,185,0,13,19,32,0,13,27,38,6,13,0,13,6,13
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1083,179,755,200,320,122,8,18,0,13,0,13,0,13,0,13,0,13,0,13
