GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",2860,400,2711,403,55,66,0,132,0,132,0,132,94,163,0,132,0,132,0,132
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4230,483,2159,420,2023,272,0,132,0,132,0,132,36,73,12,19,0,132,12,19
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4992,537,3029,375,528,235,15,23,183,217,0,132,1237,295,0,132,0,132,0,132
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1882,358,1506,337,376,164,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4086,469,3537,452,528,267,0,132,0,132,0,132,21,40,0,132,0,132,0,132
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2218,327,1400,255,631,180,2,4,0,132,0,132,185,121,0,132,0,132,0,132
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",5055,317,3379,282,981,198,2,4,0,132,0,132,629,183,64,77,0,132,64,77
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1059,251,1014,256,45,59,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",2711,515,2307,518,147,223,0,132,26,51,0,132,231,226,0,132,0,132,0,132
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3996,593,3081,542,908,260,0,132,0,132,0,132,7,12,0,132,0,132,0,132
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4262,530,3125,550,807,268,0,132,0,132,0,132,290,234,40,68,0,132,40,68
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2370,293,1000,354,1347,342,23,36,0,132,0,132,0,132,0,132,0,132,0,132
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1287,293,472,252,815,295,0,132,0,132,0,132,0,132,0,132,0,132,0,132
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5201,519,3425,412,1663,351,0,132,57,85,0,132,0,132,56,47,0,132,56,47
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7536,1007,5088,756,2347,590,0,132,94,102,0,132,0,132,7,17,0,132,7,17
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5400,510,3144,477,2006,409,0,132,184,158,0,132,0,132,66,61,17,26,49,55
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4990,802,3490,633,1405,404,0,132,31,34,0,132,0,132,64,67,0,132,64,67
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",4238,565,2318,434,1804,467,0,132,46,56,0,132,19,32,51,58,17,31,34,47
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",4552,523,1320,354,3096,436,0,132,103,126,0,132,0,132,33,36,0,132,33,36
1400000US13009970701,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",3240,714,870,387,2341,501,14,24,15,26,0,132,0,132,0,132,0,132,0,132
