GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3040,426,2845,431,79,57,15,24,12,28,0,13,89,130,0,13,0,13,0,13
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4486,463,2333,357,2020,317,0,13,57,76,0,13,47,83,29,44,29,44,0,13
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",5227,485,3866,499,608,220,10,16,69,76,0,19,674,387,0,19,0,19,0,19
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1353,284,1014,188,339,182,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4173,456,3597,469,517,233,0,13,0,13,12,19,23,41,24,39,0,13,24,39
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2254,301,1479,290,447,151,2,4,0,13,0,13,223,149,103,98,31,40,72,91
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4871,380,2922,391,850,164,0,13,0,13,0,13,1007,294,92,88,0,13,92,88
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1230,367,1098,348,121,98,0,13,0,13,0,13,11,18,0,13,0,13,0,13
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",2674,405,2376,361,54,51,0,13,27,37,8,14,209,201,0,13,0,13,0,13
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3968,440,2902,447,895,180,0,13,42,66,0,13,129,148,0,13,0,13,0,13
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4482,424,3330,416,861,167,0,13,0,13,0,13,265,231,26,43,0,13,26,43
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2455,233,1030,281,1420,310,0,13,0,13,0,13,0,13,5,10,0,13,5,10
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1028,233,467,199,561,200,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5246,421,3094,409,2133,392,0,19,0,19,0,19,0,19,19,32,0,19,19,32
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7248,798,4629,621,2276,550,21,35,186,167,0,19,136,165,0,19,0,19,0,19
