GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US13135050609,13135050609,"Census Tract 506.09, Gwinnett County, Georgia",12689,1137,9521,1000,1806,529,35,59,732,395,0,98,374,218,221,130,0,98,221,130
1400000US13135050610,13135050610,"Census Tract 506.10, Gwinnett County, Georgia",15489,685,12165,617,1952,702,0,98,764,465,73,64,367,422,168,116,17,27,151,107
1400000US13135050709,13135050709,"Census Tract 507.09, Gwinnett County, Georgia",11364,855,4485,545,6248,882,0,98,80,105,0,98,242,248,309,198,73,97,236,175
1400000US13135050712,13135050712,"Census Tract 507.12, Gwinnett County, Georgia",7058,441,5433,440,817,280,0,98,526,250,13,22,143,157,126,115,0,98,126,115
1400000US13135050713,13135050713,"Census Tract 507.13, Gwinnett County, Georgia",7878,427,5367,359,731,267,12,18,1113,299,10,17,383,329,262,205,23,35,239,199
1400000US13135050714,13135050714,"Census Tract 507.14, Gwinnett County, Georgia",4895,308,3325,296,908,276,0,98,449,172,0,98,52,73,161,83,27,32,134,75
1400000US13135050715,13135050715,"Census Tract 507.15, Gwinnett County, Georgia",5068,298,3520,441,680,257,24,29,497,110,0,98,55,42,292,226,0,98,292,226
1400000US13135050718,13135050718,"Census Tract 507.18, Gwinnett County, Georgia",8007,513,6028,662,1179,523,0,98,602,313,0,98,123,143,75,58,0,98,75,58
1400000US13135050719,13135050719,"Census Tract 507.19, Gwinnett County, Georgia",5208,618,2525,289,2501,577,0,98,69,71,0,98,21,27,92,74,0,98,92,74
1400000US13135050720,13135050720,"Census Tract 507.20, Gwinnett County, Georgia",7636,771,5787,751,1157,273,0,98,481,213,0,98,39,43,172,181,0,98,172,181
1400000US13135050721,13135050721,"Census Tract 507.21, Gwinnett County, Georgia",8867,873,5103,698,2860,675,25,38,333,275,0,98,318,235,228,179,0,98,228,179
1400000US13135050722,13135050722,"Census Tract 507.22, Gwinnett County, Georgia",3370,430,1147,269,1648,416,0,98,118,118,0,98,0,98,457,605,0,98,457,605
1400000US13135050723,13135050723,"Census Tract 507.23, Gwinnett County, Georgia",6511,536,1834,387,3702,627,10,17,359,398,0,98,377,355,229,179,65,97,164,146
1400000US13135050724,13135050724,"Census Tract 507.24, Gwinnett County, Georgia",15080,889,9206,855,4795,1073,28,41,602,222,0,98,300,263,149,90,19,36,130,83
1400000US13135050725,13135050725,"Census Tract 507.25, Gwinnett County, Georgia",5067,685,2791,574,1982,376,0,98,20,75,0,98,96,125,178,110,38,69,140,115
1400000US13135050726,13135050726,"Census Tract 507.26, Gwinnett County, Georgia",8417,693,5585,650,1594,576,0,98,313,343,0,98,423,510,502,336,64,83,438,358
1400000US13135050727,13135050727,"Census Tract 507.27, Gwinnett County, Georgia",9368,642,6647,642,2311,475,0,98,157,119,0,98,21,34,232,187,90,124,142,140
1400000US13135050728,13135050728,"Census Tract 507.28, Gwinnett County, Georgia",13925,989,4701,490,7933,968,89,90,340,235,0,98,298,333,564,248,26,33,538,248
1400000US13135050729,13135050729,"Census Tract 507.29, Gwinnett County, Georgia",3514,423,1518,323,1700,422,0,98,79,112,0,98,115,151,102,111,0,98,102,111
1400000US13135050730,13135050730,"Census Tract 507.30, Gwinnett County, Georgia",6752,645,3407,458,2862,650,21,34,64,103,0,98,380,411,18,27,1,9,17,26
1400000US13135050731,13135050731,"Census Tract 507.31, Gwinnett County, Georgia",8743,704,5138,505,3061,533,0,98,432,153,0,98,20,34,92,80,14,24,78,61
1400000US13137000100,13137000100,"Census Tract 1, Habersham County, Georgia",3565,459,3282,390,30,48,29,45,37,48,0,98,24,37,163,155,0,98,163,155
1400000US13137000201,13137000201,"Census Tract 2.01, Habersham County, Georgia",3673,406,3541,402,0,98,0,98,120,138,0,98,0,98,12,22,0,98,12,22
1400000US13137000202,13137000202,"Census Tract 2.02, Habersham County, Georgia",5544,583,5392,573,63,73,41,59,0,98,0,98,0,98,48,57,0,98,48,57
1400000US13137000300,13137000300,"Census Tract 3, Habersham County, Georgia",3934,353,3468,355,159,96,12,19,62,88,0,98,211,187,22,21,10,13,12,16
1400000US13137000400,13137000400,"Census Tract 4, Habersham County, Georgia",4953,419,4549,406,29,32,41,61,0,98,0,98,315,221,19,35,0,98,19,35
1400000US13137000500,13137000500,"Census Tract 5, Habersham County, Georgia",7514,654,6419,660,594,183,0,98,328,212,0,98,138,170,35,48,0,98,35,48
1400000US13137000601,13137000601,"Census Tract 6.01, Habersham County, Georgia",5740,578,4561,540,813,154,30,33,186,141,0,98,130,109,20,18,0,98,20,18
1400000US13137000602,13137000602,"Census Tract 6.02, Habersham County, Georgia",7821,538,6640,775,76,86,20,34,195,143,0,98,871,483,19,30,0,98,19,30
1400000US13139000101,13139000101,"Census Tract 1.01, Hall County, Georgia",4552,401,4154,452,173,93,15,23,11,14,0,98,196,185,3,6,0,98,3,6
1400000US13139000102,13139000102,"Census Tract 1.02, Hall County, Georgia",3600,399,3333,390,190,168,0,98,13,24,0,98,57,76,7,12,7,12,0,98
1400000US13139000201,13139000201,"Census Tract 2.01, Hall County, Georgia",5953,523,5508,546,0,98,12,21,6,11,0,98,290,273,137,127,15,24,122,122
1400000US13139000203,13139000203,"Census Tract 2.03, Hall County, Georgia",4118,335,4031,326,0,98,18,25,30,48,30,46,9,14,0,98,0,98,0,98
1400000US13139000204,13139000204,"Census Tract 2.04, Hall County, Georgia",4223,462,4151,471,63,60,0,98,9,17,0,98,0,98,0,98,0,98,0,98
1400000US13139000302,13139000302,"Census Tract 3.02, Hall County, Georgia",6827,691,6440,702,100,94,0,98,40,46,0,98,202,252,45,48,0,98,45,48
1400000US13139000303,13139000303,"Census Tract 3.03, Hall County, Georgia",2737,252,2655,274,43,74,0,98,0,98,0,98,0,98,39,47,16,26,23,39
1400000US13139000304,13139000304,"Census Tract 3.04, Hall County, Georgia",3761,626,3263,442,0,98,26,42,55,92,0,98,406,456,11,16,2,4,9,16
1400000US13139000305,13139000305,"Census Tract 3.05, Hall County, Georgia",4509,435,4163,475,163,194,0,98,13,21,0,98,0,98,170,204,0,98,170,204
1400000US13139000400,13139000400,"Census Tract 4, Hall County, Georgia",5721,607,5330,573,271,146,0,98,16,23,0,98,47,67,57,55,15,29,42,47
1400000US13139000500,13139000500,"Census Tract 5, Hall County, Georgia",7434,687,6226,494,575,181,37,54,121,92,0,98,373,524,102,128,0,98,102,128
1400000US13139000600,13139000600,"Census Tract 6, Hall County, Georgia",5997,513,4763,575,462,238,19,31,111,139,0,98,447,318,195,164,109,132,86,87
1400000US13139000701,13139000701,"Census Tract 7.01, Hall County, Georgia",5961,830,3362,770,1881,411,0,98,0,98,0,98,579,447,139,108,20,35,119,104
1400000US13139000702,13139000702,"Census Tract 7.02, Hall County, Georgia",4763,545,3771,643,304,186,44,83,11,136,0,98,533,292,100,83,0,98,100,83
1400000US13139000800,13139000800,"Census Tract 8, Hall County, Georgia",3464,399,1637,370,1300,275,10,20,11,16,0,98,506,287,0,98,0,98,0,98
1400000US13139000900,13139000900,"Census Tract 9, Hall County, Georgia",4768,617,4123,721,396,233,17,29,0,98,0,98,189,202,43,53,43,53,0,98
1400000US13139001002,13139001002,"Census Tract 10.02, Hall County, Georgia",5857,578,5012,517,161,180,199,253,142,138,0,98,85,117,258,232,0,98,258,232
1400000US13139001003,13139001003,"Census Tract 10.03, Hall County, Georgia",5639,885,4478,972,720,449,20,30,78,91,0,98,288,160,55,68,33,59,22,32
1400000US13139001004,13139001004,"Census Tract 10.04, Hall County, Georgia",3181,526,2179,467,755,492,0,98,56,50,0,98,151,98,40,92,40,92,0,98
1400000US13139001101,13139001101,"Census Tract 11.01, Hall County, Georgia",5253,752,3037,863,406,229,32,49,98,101,0,98,1653,711,27,44,0,98,27,44
1400000US13139001102,13139001102,"Census Tract 11.02, Hall County, Georgia",4382,685,2715,747,327,239,0,98,760,509,0,98,564,384,16,27,0,98,16,27
1400000US13139001201,13139001201,"Census Tract 12.01, Hall County, Georgia",8865,699,6641,862,1191,251,31,41,10,19,10,18,711,435,271,204,136,167,135,111
1400000US13139001202,13139001202,"Census Tract 12.02, Hall County, Georgia",5811,591,4328,863,537,311,0,98,14,22,0,98,772,436,160,145,54,55,106,131
1400000US13139001301,13139001301,"Census Tract 13.01, Hall County, Georgia",5857,516,4745,635,206,132,0,98,193,138,0,98,596,357,117,96,11,19,106,92
